iter	Passed	Remaining
0	410	204970
1	841	209483
2	1182	195822
3	1459	181027
4	1859	184072
5	2370	195199
66	3193	22491277	3665	22544388	4016	2191029	3938	192982
110	4663	20731111	4597	186978
12	4966	186044
13	5354	185881
14	5730	185299
15	6151	186076
16	6475	183971
17	6870	183988
18	7219	182776
19	7522	180547
20	7977	181966
21	8306	180486
22	8669	179800
23	8997	178454
24	9325	177189
25	9656	176046
26	10046	176007227	10400	175328228	10770	17493529	11051	173146
30	11424	172848
331	11769	172123332	12209	17277833	12529	171733
34	12931	171801
35	13269	171031
336	13750	172066337	14109	171538338	14462	170952339	14784	170017440	15137	16946641	15384	167765
42	15700	166864
443	16146	167340444	16520	167040445	16898	166778446	17375	167469
47	17840	167997
48	18175	167288
49	18567	167107
50	18912	166507
51	19298	166261
52	19663	165842
53	19996	165155
54	20327	164468
55	20632	163582
56	20987	163113
57	21344	162661558	21670	161977559	22131	162294
60	22578	162491
61	22925	161960
62	23279	161481
63	23620	160917
64	23885	159849
65	24229	159325
66	24668	159423
67	24998	158812
68	25305	158065
69	25713	157955
70	26051	157411
71	26449	157229772	26807	156805773	27201	156589774	27549	156112775	28028	156368
76	28396	155998
77	28756	155581
78	29104	155103
79	29463	154684
80	29747	153876
81	30086	153369
82	30546	153466
83	30937	153216
84	31312	152880
85	31578	152019
86	32129	152520
87	32528	152293
88	32821	151569
89	33136	150955
90	33635	151175
91	34036	150945
92	34352	150338
93	34762	150144
94	35082	149563
95	35446	149168
96	35771	148617
97	36114	148143
98	36496	147829
99	36829	147318
100	37251	147161
101	37609	146750
102	38023	146556
103	38323	145922
104	38681	145517
105	38977	144878
106	39274	144249
107	39609	143768
108	39972	143387
109	40285	142830
110	40608	142311
111	41064	142258
112	41489	142091
113	41846	141691
114	42154	141126
115	42492	140664
116	42807	140129
117	43138	139650
118	43505	139290
119	43830	138795
120	44220	138507
121	44632	138288
122	45049	138079
123	45470	137878
124	45852	137556
125	46188	137099
126	46514	136614
127	46842	136137
128	47206	135765
129	47679	135703
130	48002	135213
131	48292	134632
132	48711	134413
133	49059	133997
134	49431	133646
135	49661	132916
136	50036	132578
137	50374	132142
138	50627	131485
139	51009	131166
140	51358	130763
141	51725	130407
142	52117	130111
143	52524	129852
144	52866	129431
145	53170	128919
146	53519	128519
147	53852	128082
148	54173	127616
149	54545	127273
150	54854	126783
151	55228	126444
152	55597	126092
153	55975	125763
154	56357	125441
155	56709	125052
156	57096	124739
157	57474	124407
158	57900	124177
159	58229	123738
160	58610	123410
161	58937	122969
162	59347	122700
163	59730	122375
164	60076	121973
165	60518	121766
166	60845	121327
167	61187	120918
168	61495	120443
169	61945	120248
170	62337	119936
171	62670	119511
172	63015	119110
173	63367	118722
174	63669	118243
175	64039	117891
176	64399	117520
177	64777	117182
178	65175	116879
179	65538	116513
180	65969	116266
181	66295	115834
182	66626	115413
183	67009	115081
184	67371	114714
185	67753	114379
186	68125	114028
187	68459	113613
188	68799	113210
189	69163	112845
190	69575	112559
191	69927	112176
192	70302	111827
193	70706	111526
194	71053	111134
195	71386	110722
196	71720	110311
197	72073	109930
198	72344	109426
199	72696	109044
200	73082	108714
201	73508	108443
202	73903	108125
203	74277	107774
204	74654	107428
205	74938	106950
206	75320	106612
207	75739	106325
208	76122	105989
209	76538	105696
210	76914	105347
211	77291	105000
212	77604	104565
213	77855	104050
214	78229	103699
215	78550	103278
216	79020	103053
217	79391	102699
218	79783	102370
219	80131	101986
220	80507	101636
221	80846	101240
222	81258	100935
223	81610	100555
224	81894	100092
225	82294	99772
226	82751	99520
227	83101	99138
228	83463	98771
229	83851	98433
230	84214	98067
231	84578	97703
232	84952	97348
233	85226	96881
234	85621	96552
235	85913	96106
236	86301	95237	237	86774	95238	238	87170	95194
239	87496	94240	240	87935	94241	241	88261	94242	242	88751	93865
243	89208	93595
244	89591	93248
245	89947	92873
246	90231	92423
247	90622	92084
248	90936	91666
249	91328	91328
250	91704	90973
251	92049	90587
252	92443	90251
253	92808	89885
254	93195	89541
255	93514	89130
256	93871	88757
257	94288	88440
258	94616	88040
259	94960	87655
260	95299	87266
261	95602	86845
262	95924	86441
263	96337	86119
264	96712	85763
265	97101	85420
266	97445	85036
267	97814	84675
268	98216	84342
269	98558	83957
270	98991	83649
271	99392	83314
272	99738	82932
273	100057	82529
274	100342	82098
275	100662	81697
276	100970	81286
277	101295	80890
278	101709	80565
279	102111	80230
280	102446	79842
281	102839	79500
282	103225	79151
283	103650	78832
284	104039	78485
285	104349	78079
286	104662	77676
287	105098	77364
288	105511	77034
289	105884	76674
290	106288	76337
291	106643	75964
292	107073	75645
293	107458	75293
294	107811	74919
295	108155	74539
296	108510	74166
297	108884	73807
298	109250	73442
299	109656	73104
300	109967	72703
301	110306	72319
302	110696	71970
303	111097	71628
304	111483	71276
305	111854	70914
306	112230	70555
307	112556	70165
308	112985	69839
309	113297	69440
310	113625	69051
311	114011	68699
312	114400	68347
313	114738	67966
314	115117	67608
315	115519	67264
316	115886	66899
317	116249	66532
318	116559	66135
319	116868	65738
320	117286	65402
321	117639	65030
322	118049	64689
323	118341	64284
324	118654	63891
325	119024	63528
326	119363	63149
327	119728	62784
328	120117	62431
329	120431	62040
330	120803	61679
331	121165	61312
332	121470	60917
333	121824	60547
334	122229	60202
335	122571	59826
336	122957	59472
337	123274	59084
338	123591	58697
339	123821	58269
340	124022	57828
341	124199	57378
342	124368	56926
343	124507	56462
344	124663	56008
345	124790	55542
346	124347	124763347	125348	124916348	125349	125071349	125350	125215350	125351	125363351	125352	125545352	125353	125706353	126354	125879354	126355	126049355	126356	126210356	126357	126367357	126358	126535358	126359	126677359	126360	126893360	127361	127060361	127362	127211362	127363	127363363	127364	127516364	127365	127684365	127366	127825366	128367	127963367	128368	128127368	128369	128255369	128370	128416370	128371	128580371	128372	128737372	128373	128912373	129374	129069374	129375	129212375	129376	129348376	129377	129503377	129378	129658378	129379	129811379	130380	129963380	130381	130109381	130382	130260382	130383	130455	39408
384	130621	39016
385	130781	38624
386	130927	38229
387	131093	37841
388	131265	37456
389	131420	37067
390	131596	36685
391	131755	36300
392	131922	35917
393	132058	35528
394	132190	35139
395	132334	34754
396	132534	34385
397	132693	34006
398	132856	33630
399	133007	33251
400	133165	32876
401	133316	32500
402	133482	32128
403	133626	31752
404	133766	31377
405	133913	31004
406	134068	30634
407	134218	30264
408	134380	29898
409	134538	29532
410	134704	29169
411	134870	28807
412	135017	28441
413	135149	28074
414	135303	27712
415	135469	27354
416	135634	26996
417	135813	26642
418	135971	26285
419	136110	25925
420	136273	25571
421	136442	25219
422	136587	24863
423	136740	24510
424	136893	24157
425	137038	23804
426	137172	23451
427	137320	23100
428	137496	22755
429	137655	22409
430	137796	22060
431	137939	21712
432	138076	21365
433	138211	21018
434	138360	20674
435	138493	20329
436	138641	19987
437	138778	19644
438	138934	19305
439	139097	18967
440	139245	18629
441	139395	18291
442	139535	17953
443	139696	17619
444	139835	17283
445	140002	16950
446	140165	16619
447	140340	16289
448	140488	15957
449	140647	15627
450	140795	15297
451	140926451	141452	141073452	141453	141227453	141454	141371454	141455	141540455	141456	141694456	141457	141839457	142458	141986458	142459	142149459	142460	142312460	142461	142482461	142462	142645462	142463	142816463	143464	142966464	143465	143130465	143466	143304466	143467	143476467	14468	143626468	14469	143806469	14470	143966470	14471	144116471	14472	144307472	14473	144483473	14474	144632474	14475	144804475	14476	144947476	14477	145091477	14478	145221478	14479	145393479	14480	145558	5749
481	145729	5442
482	145898	5135
483	146057	4828
484	146193	4521
485	146361	4216
486	146512	3911
487	146668	3606
488	146833	3303
489	146987	2999
490	147135	2696
491	147291	2394
492	147449	2093
493	147622	1792
494	147778	1492
495	147922	1192
496	148064	893
497	148207	595
498	148309	297
499	148374	0
	148567	0
